"Name","Year","Height","Weight","Lang_choice","English","Math","Language","History","Physics","Chemistry","Biology","Art"
"Student 1",2010,179,85,"Hindi",69,76,67,68,44,56,64,78
"Student 2",2010,173,87,"Hindi",73,58,73,57,82,72,78,38
"Student 3",2010,172,60,"French",62,67,75,67,75,97,83,60
"Student 4",2010,174,88,"Spanish",81,100,63,64,78,68,71,86
"Student 5",2010,173,68,"German",70,69,51,73,80,74,76,61
"Student 6",2010,173,64,"Spanish",67,60,72,73,83,81,75,76
"Student 7",2010,170,57,"Hindi",55,86,68,83,63,79,72,77
"Student 8",2010,167,63,"German",75,62,76,75,74,67,78,54
"Student 9",2010,172,86,"German",74,82,77,57,78,81,67,55
"Student 10",2010,174,83,"Spanish",83,100,71,71,93,80,81,55
"Student 11",2010,169,65,"Hindi",71,43,80,71,82,64,72,79
"Student 12",2010,161,75,"German",79,97,75,62,72,67,95,88
"Student 13",2010,171,52,"Hindi",91,88,68,72,94,100,69,69
"Student 14",2010,170,59,"French",81,66,59,47,75,67,86,58
"Student 15",2010,172,66,"German",82,81,75,69,92,85,80,61
"Student 16",2010,171,81,"Hindi",79,86,65,74,49,59,76,78
"Student 17",2010,168,68,"German",52,56,80,68,78,87,72,72
"Student 18",2010,176,76,"Spanish",58,83,72,53,100,73,70,73
"Student 19",2010,176,72,"French",64,44,70,54,95,71,88,76
"Student 20",2010,167,68,"Spanish",91,74,74,71,75,95,83,59
"Student 21",2010,174,82,"Spanish",73,67,70,67,72,74,78,60
"Student 22",2010,173,66,"Hindi",76,75,68,59,93,67,73,76
"Student 23",2010,176,63,"Spanish",75,81,61,61,64,72,79,61
"Student 24",2010,162,71,"Hindi",69,100,66,60,80,85,95,66
"Student 25",2010,180,114,"Spanish",77,68,75,69,73,89,91,84
"Student 26",2010,183,92,"French",91,70,74,57,43,85,92,67
"Student 27",2010,176,74,"French",59,56,70,71,57,86,75,69
"Student 28",2010,173,73,"Hindi",64,73,62,75,99,82,81,82
"Student 29",2010,172,80,"Spanish",90,98,79,57,63,75,68,69
"Student 30",2010,168,62,"Spanish",76,85,60,71,79,68,70,63
"Student 31",2010,170,54,"German",62,97,60,63,78,99,74,48
"Student 32",2010,171,52,"Hindi",77,98,64,57,89,67,75,46
"Student 33",2010,173,71,"Spanish",78,71,69,68,80,72,86,76
"Student 34",2010,176,91,"Hindi",65,90,64,60,89,63,88,53
"Student 35",2010,176,71,"French",67,80,78,53,77,72,84,85
"Student 36",2010,175,66,"Spanish",56,97,88,71,82,89,68,61
"Student 37",2010,176,64,"German",66,76,75,70,74,77,75,74
"Student 38",2010,174,75,"Spanish",61,81,60,64,75,89,84,59
"Student 39",2010,174,48,"Hindi",60,46,66,65,75,76,54,69
"Student 40",2010,161,64,"French",81,82,71,75,62,91,96,77
"Student 41",2010,167,65,"Spanish",89,61,77,86,72,73,79,78
"Student 42",2010,174,76,"Spanish",48,55,62,55,56,80,75,69
"Student 43",2010,162,63,"Hindi",71,55,75,56,69,70,87,66
"Student 44",2010,174,66,"Hindi",62,54,56,76,82,66,78,67
"Student 45",2010,167,52,"Hindi",67,90,69,74,56,73,75,81
"Student 46",2010,169,49,"Hindi",74,51,71,84,83,71,72,70
"Student 47",2010,166,72,"Hindi",82,71,76,70,63,62,60,69
"Student 48",2010,171,72,"German",53,77,67,56,79,79,75,75
"Student 49",2010,163,58,"German",69,83,79,69,89,72,81,65
"Student 50",2010,178,74,"Hindi",77,34,66,76,80,63,70,70
"Student 51",2010,162,51,"Hindi",67,57,78,78,74,76,83,94
"Student 52",2010,169,79,"German",80,92,66,58,76,64,79,44
"Student 53",2010,174,70,"Spanish",90,89,70,71,83,82,63,94
"Student 54",2010,181,73,"Spanish",76,64,54,71,70,80,85,83
"Student 55",2010,170,77,"Spanish",76,70,66,68,55,72,73,69
"Student 56",2010,175,100,"German",84,63,69,77,84,76,72,80
"Student 57",2010,174,77,"Spanish",88,69,90,60,71,93,67,58
"Student 58",2010,167,71,"German",64,61,66,60,85,73,70,94
"Student 59",2010,175,74,"Hindi",70,77,79,67,82,60,72,59
"Student 60",2010,169,66,"Hindi",61,73,62,59,79,89,64,56
"Student 61",2010,170,76,"Spanish",61,88,60,62,100,57,58,81
"Student 62",2010,181,76,"Spanish",67,65,55,67,79,75,76,48
"Student 63",2010,178,80,"German",66,74,65,58,79,66,87,43
"Student 64",2010,169,94,"French",60,99,70,63,86,58,79,40
"Student 65",2010,176,79,"French",63,59,58,70,69,82,61,72
"Student 66",2010,163,66,"Hindi",70,51,70,67,66,72,71,34
"Student 67",2010,183,85,"French",58,63,60,68,74,74,76,90
"Student 68",2010,169,67,"Spanish",68,80,68,74,68,90,73,59
"Student 69",2010,169,74,"Spanish",64,70,74,62,66,85,92,64
"Student 70",2010,178,70,"Hindi",73,83,68,74,100,67,55,67
"Student 71",2010,164,62,"Hindi",78,100,79,67,83,76,71,81
"Student 72",2010,171,89,"German",90,54,65,79,61,67,64,66
"Student 73",2010,177,90,"Spanish",65,96,74,77,74,100,77,44
"Student 74",2010,179,86,"Hindi",64,72,81,66,72,80,81,66
"Student 75",2010,169,81,"Spanish",75,75,90,75,70,82,76,59
"Student 76",2010,177,66,"German",62,79,73,75,72,78,82,58
"Student 77",2010,175,63,"French",53,100,84,81,79,81,78,72
"Student 78",2010,174,66,"Spanish",73,94,74,58,71,67,60,64
"Student 79",2010,172,84,"German",67,100,68,69,65,69,67,64
"Student 80",2010,175,78,"Spanish",77,61,66,59,72,70,62,31
"Student 81",2010,171,57,"German",40,99,63,63,58,71,61,57
"Student 82",2010,169,65,"German",70,91,68,62,84,65,78,84
"Student 83",2010,180,74,"German",85,50,69,69,66,71,72,69
"Student 84",2010,168,72,"Hindi",61,62,77,65,85,92,72,60
"Student 85",2010,174,69,"Hindi",58,64,76,77,81,76,52,66
"Student 86",2010,181,80,"French",77,83,69,58,74,64,77,74
"Student 87",2010,172,81,"Hindi",84,58,74,51,80,87,88,54
"Student 88",2010,165,75,"Hindi",71,76,67,68,45,100,66,82
"Student 89",2010,175,67,"Hindi",73,88,75,81,57,77,86,70
"Student 90",2010,172,75,"German",60,61,68,77,94,76,55,67
"Student 91",2010,178,77,"Hindi",64,78,63,69,73,78,100,58
"Student 92",2010,172,75,"French",66,47,75,82,85,84,77,73
"Student 93",2010,170,65,"German",70,100,62,68,94,65,62,47
"Student 94",2010,170,75,"German",70,100,84,80,79,69,84,37
"Student 95",2010,175,77,"French",70,84,79,76,75,68,55,66
"Student 96",2010,173,77,"German",83,52,76,59,65,67,54,62
"Student 97",2010,169,73,"French",64,46,70,69,61,71,79,46
"Student 98",2010,176,84,"Hindi",58,54,88,47,86,88,58,66
"Student 99",2010,177,79,"French",59,64,58,64,73,79,79,67
"Student 100",2010,179,87,"Hindi",64,63,53,65,69,69,77,51
"Student 101",2010,168,74,"German",83,76,75,67,71,82,77,64
"Student 102",2010,172,64,"French",59,89,73,72,45,79,82,75
"Student 103",2010,175,86,"Spanish",77,66,66,56,66,80,78,68
"Student 104",2010,179,70,"Hindi",89,100,65,45,79,95,73,57
"Student 105",2010,169,60,"Spanish",67,40,74,57,98,94,88,89
"Student 106",2010,167,64,"German",70,90,76,66,58,77,66,75
"Student 107",2010,172,73,"German",69,91,81,59,86,86,85,68
"Student 108",2010,175,72,"German",67,89,73,63,73,82,80,66
"Student 109",2010,184,81,"Hindi",77,60,73,63,76,83,67,59
"Student 110",2010,171,72,"German",68,74,76,66,63,64,71,61
"Student 111",2010,169,64,"German",87,62,79,54,62,54,66,55
"Student 112",2010,169,68,"Hindi",76,55,73,76,72,80,60,43
"Student 113",2010,176,84,"German",62,100,67,65,58,68,72,76
"Student 114",2010,168,63,"French",77,64,64,65,88,77,71,70
"Student 115",2010,173,85,"French",64,65,54,58,84,78,72,36
"Student 116",2010,178,79,"Hindi",66,75,68,46,58,73,73,68
"Student 117",2010,170,82,"German",82,72,74,86,60,62,92,74
"Student 118",2010,179,72,"French",69,100,73,53,84,66,74,89
"Student 119",2010,179,85,"German",63,89,82,64,81,74,83,74
"Student 120",2010,174,60,"Hindi",80,76,85,66,66,56,65,80
"Student 121",2010,182,68,"French",73,100,65,73,99,54,66,65
"Student 122",2010,174,75,"French",69,85,66,54,53,83,81,67
"Student 123",2010,177,84,"French",64,96,76,50,87,59,80,63
"Student 124",2010,166,73,"German",55,60,63,69,74,91,85,59
"Student 125",2010,176,75,"French",74,60,65,67,58,74,77,51
"Student 126",2010,169,74,"German",78,79,67,67,66,65,70,61
"Student 127",2010,176,83,"German",61,81,72,79,64,79,39,60
"Student 128",2010,175,71,"German",67,35,80,59,86,75,64,83
"Student 129",2010,173,74,"Hindi",76,66,72,75,69,74,78,58
"Student 130",2010,181,66,"German",75,60,59,63,82,71,84,94
"Student 131",2010,170,65,"Hindi",59,41,59,72,77,69,69,55
"Student 132",2010,173,98,"Hindi",64,88,53,92,87,73,97,76
"Student 133",2010,171,79,"Hindi",70,93,72,72,78,87,74,62
"Student 134",2010,169,65,"Hindi",70,76,79,68,80,69,57,57
"Student 135",2010,168,96,"French",75,81,76,81,77,97,75,71
"Student 136",2010,172,51,"French",87,80,66,57,95,61,70,57
"Student 137",2010,170,45,"Hindi",76,93,73,72,53,61,77,74
"Student 138",2010,164,69,"French",59,47,74,76,56,93,87,43
"Student 139",2010,177,72,"German",60,93,55,73,53,76,80,70
"Student 140",2010,176,67,"French",86,72,73,56,85,83,68,78
"Student 141",2010,166,64,"French",63,88,71,46,80,66,56,66
"Student 142",2010,166,63,"French",91,52,63,67,47,52,71,58
"Student 143",2010,165,83,"German",74,52,75,66,89,94,75,61
"Student 144",2010,178,79,"German",78,87,67,76,70,63,68,45
"Student 145",2010,173,62,"Hindi",58,66,70,64,82,78,94,44
"Student 146",2010,175,74,"Spanish",74,49,84,77,78,84,77,83
"Student 147",2010,179,84,"Hindi",77,68,72,72,62,84,75,62
"Student 148",2010,169,82,"French",56,78,62,62,92,73,68,69
"Student 149",2010,178,83,"French",77,46,85,70,78,82,74,77
"Student 150",2010,166,52,"French",85,100,64,54,82,77,70,67
"Student 151",2010,167,74,"French",69,94,70,63,98,75,92,62
"Student 152",2010,175,88,"German",68,50,74,82,91,62,73,61
"Student 153",2010,176,61,"Spanish",58,84,65,62,80,69,77,87
"Student 154",2010,175,74,"Hindi",86,86,60,60,62,71,83,53
"Student 155",2010,169,74,"German",75,66,60,70,81,84,69,62
"Student 156",2010,173,85,"Spanish",91,43,81,69,99,88,73,72
"Student 157",2010,166,63,"German",69,100,68,67,68,65,64,79
"Student 158",2010,174,75,"Hindi",63,78,76,43,95,83,69,69
"Student 159",2010,172,97,"Hindi",73,61,73,78,59,64,94,51
"Student 160",2010,173,86,"German",64,71,71,71,99,93,67,62
"Student 161",2010,173,85,"Hindi",59,79,57,58,75,74,73,63
"Student 162",2010,170,69,"Hindi",79,54,62,72,85,73,65,68
"Student 163",2010,170,77,"German",65,84,78,71,71,78,73,91
"Student 164",2010,173,64,"Hindi",60,62,67,78,77,68,75,88
"Student 165",2010,162,68,"German",91,54,68,74,81,90,70,77
"Student 166",2010,172,82,"Hindi",75,68,71,61,69,83,52,63
"Student 167",2010,171,68,"German",64,46,65,73,73,88,79,44
"Student 168",2010,177,60,"Spanish",74,98,80,72,88,81,71,63
"Student 169",2010,164,43,"Spanish",67,60,72,68,74,62,95,72
"Student 170",2010,170,56,"German",69,66,65,78,66,77,70,62
"Student 171",2010,177,93,"Hindi",59,98,89,57,77,62,67,73
"Student 172",2010,176,76,"Hindi",78,58,61,72,77,78,73,87
"Student 173",2010,163,79,"French",63,88,82,76,75,72,80,69
"Student 174",2010,176,92,"German",62,63,74,59,86,100,57,79
"Student 175",2010,169,71,"Hindi",77,76,60,63,87,65,68,58
"Student 176",2010,175,73,"French",79,61,63,60,76,79,65,67
"Student 177",2010,172,78,"German",80,47,64,71,83,77,83,58
"Student 178",2010,170,59,"German",67,70,65,92,77,78,91,84
"Student 179",2010,176,64,"German",86,62,72,76,54,72,68,68
"Student 180",2010,172,68,"Hindi",80,37,81,65,82,90,65,66
"Student 181",2010,165,70,"German",78,51,66,63,83,67,81,64
"Student 182",2010,180,71,"Hindi",60,61,64,58,69,95,66,72
"Student 183",2010,177,54,"Spanish",87,60,60,68,58,76,77,72
"Student 184",2010,175,82,"French",56,48,69,66,74,64,75,55
"Student 185",2010,173,80,"French",79,32,65,67,81,82,80,55
"Student 186",2010,175,61,"French",76,73,80,68,88,75,85,83
"Student 187",2010,169,80,"Hindi",85,46,65,72,70,60,62,73
"Student 188",2010,175,64,"Spanish",69,97,89,84,56,75,84,72
"Student 189",2010,173,70,"German",58,65,79,72,71,75,69,74
"Student 190",2010,168,83,"Hindi",66,71,61,74,84,54,83,63
"Student 191",2010,177,81,"Spanish",73,72,77,75,65,66,75,34
"Student 192",2010,178,86,"Hindi",77,73,64,86,81,76,77,65
"Student 193",2010,176,69,"Hindi",65,100,61,67,62,64,71,82
"Student 194",2010,171,54,"French",55,53,61,63,64,50,74,59
"Student 195",2010,169,66,"German",59,46,92,65,77,62,68,72
"Student 196",2010,161,65,"French",84,72,59,66,72,78,81,77
"Student 197",2010,173,80,"German",65,73,65,63,86,88,78,66
"Student 198",2010,169,81,"Hindi",63,77,71,69,64,77,71,65
"Student 199",2010,176,56,"French",85,63,60,68,74,55,89,59
"Student 200",2010,166,73,"German",60,100,76,78,64,80,66,50
"Student 201",2010,169,54,"Hindi",63,88,76,71,78,80,61,73
"Student 202",2010,170,77,"Hindi",62,60,73,73,96,77,73,62
"Student 203",2010,167,62,"German",69,58,58,84,78,65,95,53
"Student 204",2010,174,69,"Spanish",63,83,84,57,76,73,61,48
"Student 205",2010,173,85,"French",78,71,73,60,59,89,77,71
"Student 206",2010,169,71,"French",68,63,71,72,80,68,57,73
"Student 207",2010,168,56,"Hindi",60,65,65,63,86,62,71,94
"Student 208",2010,169,63,"French",88,95,85,54,79,64,64,74
"Student 209",2010,178,87,"German",76,84,53,90,69,64,66,69
"Student 210",2010,172,70,"German",71,66,73,72,66,80,79,89
"Student 211",2010,179,62,"Hindi",80,82,69,61,63,45,72,60
"Student 212",2010,173,65,"Hindi",85,82,63,82,73,57,62,50
"Student 213",2010,173,69,"Spanish",77,74,86,75,70,51,77,55
"Student 214",2010,169,55,"Spanish",51,80,70,74,80,80,91,73
"Student 215",2010,175,69,"German",72,78,76,61,66,65,82,94
"Student 216",2010,177,83,"French",76,58,74,69,69,79,75,62
"Student 217",2010,168,65,"French",68,49,65,70,51,72,63,53
"Student 218",2010,171,78,"Spanish",82,91,75,58,87,79,95,71
"Student 219",2010,167,81,"Spanish",84,96,73,54,91,66,74,87
"Student 220",2010,173,92,"Hindi",73,69,74,62,94,74,77,74
"Student 221",2010,177,79,"German",56,78,79,85,71,95,86,77
"Student 222",2010,169,51,"French",71,82,84,64,98,79,85,43
"Student 223",2010,166,60,"French",62,78,78,56,65,67,89,80
"Student 224",2010,171,62,"French",65,69,79,71,58,100,74,76
"Student 225",2010,177,80,"French",52,74,64,83,89,72,65,51
"Student 226",2010,173,61,"Hindi",74,98,69,45,57,88,73,71
"Student 227",2010,160,64,"Spanish",64,69,88,83,81,68,72,58
"Student 228",2010,170,66,"French",68,79,70,76,81,62,70,65
"Student 229",2010,177,83,"Hindi",80,78,68,64,71,71,85,66
"Student 230",2010,174,76,"Spanish",68,53,68,59,68,99,77,74
"Student 231",2010,171,92,"German",73,65,77,74,85,82,75,53
"Student 232",2010,174,73,"French",73,73,69,83,86,71,50,57
"Student 233",2010,167,56,"German",66,74,70,77,75,72,69,60
"Student 234",2010,165,77,"Hindi",45,90,71,68,94,70,75,61
"Student 235",2010,165,72,"French",77,67,82,52,67,75,68,65
"Student 236",2010,169,64,"French",69,69,69,82,93,67,72,67
"Student 237",2010,164,47,"Hindi",78,52,64,62,69,63,60,54
"Student 238",2010,165,60,"French",59,66,72,72,74,87,76,69
"Student 239",2010,171,81,"Hindi",46,75,57,58,77,81,76,67
"Student 240",2010,170,79,"Spanish",87,72,65,58,78,72,67,79
"Student 241",2010,178,62,"Hindi",73,61,69,67,85,78,54,56
"Student 242",2010,175,76,"Hindi",68,76,90,81,59,65,50,73
"Student 243",2010,174,61,"Spanish",75,100,83,63,100,100,93,65
"Student 244",2010,170,77,"German",72,69,73,73,79,81,74,53
"Student 245",2010,169,72,"Hindi",83,94,59,83,79,90,59,94
"Student 246",2010,169,72,"German",63,54,73,81,64,70,63,69
"Student 247",2010,175,71,"German",70,70,69,72,75,69,70,66
"Student 248",2010,171,63,"Hindi",58,86,76,69,86,71,63,60
"Student 249",2010,177,85,"Hindi",73,36,56,66,71,59,93,55
"Student 250",2010,167,69,"French",68,83,71,60,87,79,67,56
"Student 251",2010,170,72,"German",82,98,73,74,79,78,74,78
"Student 252",2010,177,80,"Spanish",62,93,73,62,69,82,76,75
"Student 253",2010,177,71,"Hindi",74,100,70,63,71,65,69,81
"Student 254",2010,182,81,"Hindi",69,67,76,87,83,57,57,62
"Student 255",2010,172,61,"Spanish",79,67,70,85,72,64,74,72
"Student 256",2010,171,60,"Spanish",71,100,72,83,63,62,82,80
"Student 257",2010,168,71,"French",80,51,72,66,76,88,72,77
"Student 258",2010,170,88,"Spanish",67,74,62,61,64,68,81,70
"Student 259",2010,172,78,"German",75,71,72,61,80,87,67,65
"Student 260",2010,175,66,"Hindi",73,66,65,64,84,73,72,56
"Student 261",2010,170,65,"German",65,79,72,66,64,71,83,62
"Student 262",2010,167,68,"Spanish",52,85,72,73,71,85,89,62
"Student 263",2010,163,66,"Hindi",73,90,77,58,85,67,70,70
"Student 264",2010,174,82,"German",70,91,68,56,76,74,81,78
"Student 265",2010,172,91,"Spanish",76,78,69,64,59,67,85,61
"Student 266",2010,174,75,"Spanish",65,82,73,86,74,70,79,83
"Student 267",2010,173,73,"Hindi",66,59,67,51,58,76,66,81
"Student 268",2010,180,70,"Hindi",55,63,74,67,51,48,79,72
"Student 269",2010,165,67,"Spanish",91,76,74,70,74,69,75,64
"Student 270",2010,169,56,"Spanish",64,57,63,76,70,70,83,70
"Student 271",2010,177,99,"French",70,90,75,72,75,97,83,82
"Student 272",2010,165,69,"Hindi",75,73,76,75,76,85,59,94
"Student 273",2010,174,70,"French",69,76,69,81,87,89,67,58
"Student 274",2010,169,76,"Hindi",68,51,62,66,94,94,64,56
"Student 275",2010,168,63,"German",75,67,92,57,61,56,61,72
"Student 276",2010,167,73,"Hindi",68,85,71,67,82,60,80,64
"Student 277",2010,177,73,"German",75,37,70,64,73,60,85,60
"Student 278",2010,174,69,"Hindi",58,52,80,57,78,76,78,93
"Student 279",2010,176,73,"German",73,73,79,60,75,94,75,52
"Student 280",2010,178,80,"Spanish",67,68,57,70,83,77,68,55
"Student 281",2010,175,70,"Spanish",62,55,71,60,93,66,76,49
"Student 282",2010,172,74,"Hindi",66,49,78,82,78,75,49,72
"Student 283",2010,167,69,"Hindi",57,80,69,71,83,75,79,75
"Student 284",2010,181,65,"German",71,58,75,65,95,75,64,72
"Student 285",2010,175,46,"German",73,84,79,59,78,69,73,94
"Student 286",2010,174,77,"French",57,70,87,66,79,64,72,71
"Student 287",2010,170,98,"Hindi",68,83,54,82,78,76,66,61
"Student 288",2010,181,107,"German",79,78,67,75,70,77,92,75
"Student 289",2010,176,101,"Spanish",77,77,70,65,72,61,63,60
"Student 290",2010,174,76,"Spanish",72,75,63,59,73,80,58,79
"Student 291",2010,175,81,"French",80,58,68,64,67,67,79,90
"Student 292",2010,172,87,"German",64,87,58,64,68,76,54,64
"Student 293",2010,168,64,"French",62,84,62,67,66,75,74,88
"Student 294",2010,176,75,"French",82,91,59,63,63,81,55,54
"Student 295",2010,172,59,"Spanish",74,44,89,63,70,71,72,59
"Student 296",2010,179,75,"Hindi",61,91,70,73,83,87,74,79
"Student 297",2010,174,72,"Hindi",78,51,69,67,82,85,85,84
"Student 298",2010,177,66,"German",77,88,92,55,81,47,75,62
"Student 299",2010,178,84,"Hindi",55,77,67,58,80,77,80,75
"Student 300",2010,176,87,"French",57,59,67,48,73,71,81,47
"Student 301",2010,172,72,"Spanish",53,69,62,55,82,75,71,39
"Student 302",2010,168,63,"Hindi",79,100,59,66,54,70,78,89
"Student 303",2010,169,68,"Hindi",91,61,62,84,77,73,67,70
"Student 304",2010,171,68,"Spanish",72,76,73,71,74,61,71,56
"Student 305",2010,169,60,"French",68,74,73,61,59,94,74,58
"Student 306",2010,168,67,"Hindi",76,78,73,71,79,83,71,42
"Student 307",2010,177,61,"Hindi",69,63,52,64,81,85,82,74
"Student 308",2010,169,60,"French",66,33,53,67,56,80,85,42
"Student 309",2010,172,89,"Spanish",78,52,79,72,57,67,71,80
"Student 310",2010,166,62,"Hindi",70,72,71,72,56,72,75,69
"Student 311",2010,173,54,"German",82,67,87,79,71,70,73,55
"Student 312",2010,173,76,"Hindi",78,96,68,63,70,70,82,46
"Student 313",2010,185,81,"Hindi",75,64,70,76,89,86,67,47
"Student 314",2010,171,70,"German",78,73,75,63,94,79,85,59
"Student 315",2010,167,80,"Spanish",64,100,59,60,66,64,76,71
"Student 316",2010,169,70,"French",86,95,74,61,63,84,59,63
"Student 317",2010,178,68,"German",69,100,67,81,82,51,69,50
"Student 318",2010,171,70,"Spanish",59,75,73,71,100,73,87,57
"Student 319",2010,174,68,"German",68,70,71,64,65,59,69,75
"Student 320",2010,176,74,"Hindi",70,77,70,53,81,66,63,73
"Student 321",2010,171,76,"Spanish",72,54,58,62,82,64,79,51
"Student 322",2010,172,71,"French",84,58,62,71,77,75,64,67
"Student 323",2010,166,67,"Spanish",77,50,60,71,65,91,83,61
"Student 324",2010,172,66,"Hindi",79,93,69,73,68,55,83,46
"Student 325",2010,160,44,"French",71,79,72,73,76,77,87,33
"Student 326",2010,170,78,"Spanish",67,100,60,88,88,85,80,65
"Student 327",2010,179,67,"Hindi",67,85,65,71,82,67,67,57
"Student 328",2010,170,74,"Spanish",66,68,67,64,76,85,75,82
"Student 329",2010,169,88,"Hindi",61,72,81,68,94,72,58,89
"Student 330",2010,168,76,"Spanish",57,85,60,66,81,85,97,63
"Student 331",2010,169,75,"French",66,100,80,60,76,77,72,60
"Student 332",2010,174,65,"Hindi",88,55,65,66,79,68,82,70
"Student 333",2010,172,59,"Spanish",79,32,76,52,78,89,76,73
